,starting_capacity,choice_delay_phc,choice_delay_ss,demand_served_phc,demand_served_ss,demand_fulfilled_dates_phc,demand_fulfilled_dates_ss,bad_experience_phc,bad_experience_ss
510,21,90,-1,0,0,600,0,0,0
511,21,-1,-1,1,0,0,0,0,0
512,20,18,-1,1,0,530,0,0,0
513,19,-1,-1,2,0,0,0,0,0
514,17,-1,18,0,0,0,553,0,0
515,17,-1,20,0,0,0,553,0,0
516,17,-1,120,0,0,0,637,0,0
517,17,-1,17,0,0,0,553,0,0
518,17,-1,8,0,0,0,553,0,0
519,17,-1,11,1,0,0,553,0,0
520,50,-1,49,0,0,0,609,0,1
521,50,-1,0,0,0,0,525,0,0
522,50,11,-1,0,0,533,0,0,0
523,50,-1,17,0,0,0,553,0,0
524,50,-1,2,0,0,0,553,0,0
525,50,9,-1,0,5,534,0,0,0
526,45,67,-1,0,0,0,0,1,0
527,45,4,-1,0,0,531,0,0,0
528,45,-1,-1,0,0,0,0,0,0
529,45,42,-1,0,0,571,0,0,0
530,45,-1,118,1,0,0,665,0,0
531,44,4,-1,1,0,535,0,0,0
532,43,-1,-1,0,0,0,0,0,0
533,43,-1,-1,1,0,0,0,0,0
534,42,-1,-1,2,0,0,0,0,0
535,40,1,-1,1,0,536,0,0,0
536,39,-1,1,1,0,0,553,0,0
537,38,-1,1,0,0,0,553,0,0
538,38,1,-1,0,0,539,0,0,0
539,38,-1,1,1,0,0,553,0,0
540,37,109,-1,0,0,649,0,0,0
541,37,-1,2,0,0,0,553,0,0
542,37,6,-1,0,0,548,0,0,0
543,37,3,-1,0,0,546,0,0,0
544,37,-1,11,0,0,622,0,1,1
545,37,11,-1,0,0,556,0,0,0
546,37,-1,0,1,0,0,553,0,0
547,36,-1,0,1,0,0,553,0,0
548,35,-1,5,1,0,0,553,0,0
549,34,1,-1,0,0,550,0,0,0
550,34,-1,45,1,0,0,609,0,0
551,33,-1,50,0,0,0,609,0,0
552,33,4,-1,0,0,556,0,0,0
553,33,0,-1,1,15,553,0,0,0
554,17,-1,-1,0,0,0,0,0,0
555,17,0,-1,1,0,555,0,0,0
556,16,-1,-1,2,0,0,0,0,0
557,14,-1,152,0,0,0,721,0,0
558,14,-1,0,1,0,0,609,1,1
559,13,0,-1,1,0,559,0,0,0
560,12,-1,-1,0,0,0,0,0,0
561,12,-1,2,0,0,0,609,1,1
562,12,52,-1,0,0,614,0,0,0
563,12,-1,-1,0,0,0,0,0,0
564,12,-1,47,0,0,683,0,0,1
565,12,23,-1,0,0,674,0,1,0
566,12,4,-1,1,0,570,0,0,0
567,11,14,-1,0,0,602,0,1,0
568,11,0,-1,1,0,568,0,0,0
569,10,-1,39,1,0,0,609,0,0
570,9,3,-1,1,0,573,0,0,0
571,8,-1,2,1,0,644,0,0,1
572,7,-1,6,0,0,0,581,0,0
573,7,-1,17,1,0,0,609,0,0
574,6,-1,1,0,0,0,609,1,1
575,6,-1,27,0,0,0,609,0,0
576,6,0,-1,1,0,576,0,0,0
577,5,-1,2,1,0,0,609,1,1
578,4,6,-1,0,0,0,609,1,0
579,4,-1,1,0,0,0,581,0,0
580,4,-1,0,0,0,0,609,1,1
581,4,9,-1,4,4,606,0,1,0
582,0,2,-1,0,0,601,0,1,0
583,0,-1,-1,0,0,0,0,0,0
584,0,21,-1,0,0,605,0,0,0
585,0,-1,2,0,0,0,609,0,0
586,0,6,-1,0,0,0,0,1,1
587,0,9,-1,0,0,603,0,1,0
588,0,6,-1,0,0,606,0,1,0
589,0,0,-1,0,0,600,0,1,0
590,0,0,-1,0,0,0,609,1,0
591,0,-1,-1,0,0,0,0,0,0
592,0,0,-1,0,0,0,609,1,0
593,0,0,-1,0,0,600,0,1,0
594,0,-1,-1,0,0,0,0,0,0
595,0,24,-1,0,0,619,0,0,0
596,0,2,-1,0,0,613,0,1,0
597,0,0,-1,0,0,601,0,1,0
598,0,-1,49,0,0,0,665,0,0
599,0,-1,104,0,0,0,721,0,0
600,50,0,-1,4,0,600,0,0,0
601,46,22,-1,2,0,623,0,0,0
602,44,17,-1,1,0,619,0,0,0
603,43,-1,10,1,0,698,0,0,1
604,42,-1,4,0,0,0,609,0,0
605,42,-1,0,1,0,0,609,0,0
606,41,-1,2,3,0,0,609,0,0
607,38,-1,0,0,0,0,609,0,0
608,38,-1,-1,0,0,0,0,0,0
609,38,-1,-1,0,20,0,0,0,0
610,18,1,-1,0,0,611,0,0,0
611,18,5,-1,1,0,616,0,0,0
612,17,-1,-1,0,0,0,0,0,0
613,17,-1,-1,1,0,0,0,0,0
614,16,-1,-1,1,0,0,0,0,0
615,15,-1,31,0,0,0,665,0,0
616,15,-1,12,1,0,664,0,1,1
617,14,-1,-1,0,0,0,0,0,0
618,14,52,-1,0,0,670,0,0,0
619,14,-1,61,2,0,0,693,0,0
