Latitude,Longitude,Location Name,Type,Level
17.0727,77.9053,Ramreddypally,AWC,1
17.0867,77.925,Allapoor Tanda,AWC,1
17.0361,77.8713,Kamanpally,AWC,1
17.0409,77.9275,Lingampally,AWC,1
17.0484,77.9213,DasyanikTanda,AWC,1
17.0478,77.9259,Vallynaik Tanda L,AWC,1
17.0407,77.8747,Peerampally,AWC,1
17.0238,77.82,Ramnagar,AWC,1
17.0264,77.8244,BandavelikacherlaTanda,AWC,1
16.9959,77.8398,Ghanapoor,AWC,1
16.9989,77.9797,Chowdapoor - I,AWC,1
16.9989,77.9797,Chowdapoor - II,AWC,1
17.007,77.9752,Vittalapoor,AWC,1
16.9866,77.9758,ErlabadTanda,AWC,1
17.0716862,77.8676347,Kusumasamudram - I,AWC,1
16.9949,77.9029,Kusumasamudram - II,AWC,1
16.9753,77.928,Kusumasamudram - III,AWC,1
16.9695,77.9049,Kusumasamudram - IV,AWC,1
17.1602491,77.8924245,Mandipal,AWC,1
16.9742,77.9736,Makthavenkatapoor,AWC,1
17.0163533,77.8725613,Veerapoor,AWC,1
17.1762,77.7892,Heeryaniak  Tanda  (Mini),AWC,1
17.1613471,77.8022383,Gangyanaiak  Tanda  (Mini),AWC,1
17.1661,77.7828,Dadi Tanda  (Mini),AWC,1
17.1728,77.824,Govinda poor Tanda  (Mini),AWC,1
17.1633,77.8161,Jeedigadda  Tanda  (Mini),AWC,1
17.1812,77.8594,Kistammagadi  Tanda  (Mini),AWC,1
